Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification,CIK
FDEU,First Trust Dynamic Europe Equity Income Fund,15.91,274159656.28,,2015.0,,,https://www.nasdaq.com/symbol/fdeu,microcap,
FEMB,First Trust Emerging Markets Local Currency Bond ETF,36.975,51765073.95,,,,,https://www.nasdaq.com/symbol/femb,microcap,
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,37.32,236982074.64,,,,,https://www.nasdaq.com/symbol/fems,microcap,
FIF,First Trust Energy Infrastructure Fund,16.56,290631908.16,,2011.0,,,https://www.nasdaq.com/symbol/fif,microcap,854711
FEUZ,First Trust Eurozone AlphaDEX ETF,42.6714,89610025.3428,,,,,https://www.nasdaq.com/symbol/feuz,microcap,
FGM,First Trust Germany AlphaDEX Fund,48.5734,235581087.1468,,,,,https://www.nasdaq.com/symbol/fgm,microcap,
FTGC,First Trust Global Tactical Commodity Strategy Fund,19.55,220002679.7,,,,,https://www.nasdaq.com/symbol/ftgc,microcap,
FJP,First Trust Japan AlphaDEX Fund,54.69,164070109.38,,,,,https://www.nasdaq.com/symbol/fjp,microcap,
FNY,First Trust Mid Cap Growth AlphaDEX Fund,46.21,233360592.42,,,,,https://www.nasdaq.com/symbol/fny,microcap,
FNK,First Trust Mid Cap Value AlphaDEX Fund,37.53,50665575.06,,,,,https://www.nasdaq.com/symbol/fnk,microcap,
FAD,First Trust Multi Cap Growth AlphaDEX Fund,76.27,213556152.54,,,,,https://www.nasdaq.com/symbol/fad,microcap,
FAB,First Trust Multi Cap Value AlphaDEX Fund,58.2,93120116.4,,,,,https://www.nasdaq.com/symbol/fab,microcap,
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,20.4,95880040.8,,,,,https://www.nasdaq.com/symbol/qcln,microcap,
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,52.32,94176104.64,,,,,https://www.nasdaq.com/symbol/qqxt,microcap,
FPL,First Trust New Opportunities MLP & Energy Fund,10.39,263896389.25,,2014.0,,,https://www.nasdaq.com/symbol/fpl,microcap,
AIRR,First Trust RBA American Industrial Renaissance ETF,28.05,192142556.1,,,,,https://www.nasdaq.com/symbol/airr,microcap,
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,55.75,55750111.5,,,,,https://www.nasdaq.com/symbol/rfap,microcap,
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,63.9396,115091407.8792,,,,,https://www.nasdaq.com/symbol/rfem,microcap,
RFEU,First Trust RiverFront Dynamic Europe ETF,63.661,120956027.322,,,,,https://www.nasdaq.com/symbol/rfeu,microcap,
FYT,First Trust Small Cap Value AlphaDEX Fund,39.9155,73843754.831,,,,,https://www.nasdaq.com/symbol/fyt,microcap,
FGB,First Trust Specialty Finance and Financial Opportunities Fund,6.31,90546733.2,,2007.0,,,https://www.nasdaq.com/symbol/fgb,microcap,
FCVT,First Trust SSI Strategic Convertible Securities ETF,30.5953,174393271.1906,,,,,https://www.nasdaq.com/symbol/fcvt,microcap,
FDIV,First Trust Strategic Income ETF,49.79,84643099.58,,,,,https://www.nasdaq.com/symbol/fdiv,microcap,
